date,open,high,low,close,volume,barCount,average,MACD,MACD_Signal,MACD_Hist,K,D,J,EMA_12,EMA_26,MA_10,MA_20,MA_200,BB_Upper,BB_Middle,BB_Lower
2019-01-30 18:00:00,2648.5,2689.75,2636.25,2683.25,1501921,275786,2665.0,22.561156447862686,14.103000070839899,8.458156377022787,69.50294581353792,68.6612984612842,71.18624051804537,2638.586008794491,2616.022963128828,2652.25,2610.0625,,2788.8228277634194,2607.07,2425.317172236581
2019-01-31 18:00:00,2683.5,2713.0,2675.75,2712.0,1826574,291405,2695.25,26.74649714361294,16.631699485394506,10.114797658218436,84.35075803447398,73.99469101749072,105.0628920684405,2649.880468979954,2623.132373267433,2659.625,2623.075,,2792.5108883310054,2608.57,2424.629111668995
2019-02-01 18:00:00,2707.75,2716.0,2695.5,2704.5,1406744,262523,2705.75,29.12251623978591,19.129862836272785,9.992653403513124,93.15987484358779,82.33785956386659,114.8039054030302,2658.283473752269,2629.159604877253,2662.375,2631.825,,2795.246054007743,2609.68,2424.1139459922565
2019-02-04 18:00:00,2699.25,2725.0,2697.0,2721.0,988579,172314,2709.75,31.96842845200399,21.697575959419027,10.270852492584964,94.77943615248041,90.76335634351409,102.81159577041308,2667.9321700980736,2635.9625971085675,2668.15,2640.1875,,2799.5170417818576,2611.445,2423.3729582181427
2019-02-05 18:00:00,2719.5,2737.75,2716.25,2731.0,1197985,192510,2730.25,34.63153997494419,24.28436876252406,10.347171212420129,93.16305916297476,93.70079005301436,92.08759738289555,2677.6349131599086,2643.002404730155,2678.0,2648.25,,2804.4779440028647,2613.495,2422.512055997135
2019-02-06 18:00:00,2730.75,2736.5,2722.25,2727.75,1142911,185324,2730.25,36.064102678387826,26.640315545696815,9.423787132691011,93.98075998067783,93.97441843204437,93.99344307794476,2685.344926519923,2649.280004379773,2687.0,2655.55,,2808.042718007905,2614.83,2421.617281992095
2019-02-07 18:00:00,2727.0,2729.25,2685.5,2703.25,1872150,294194,2702.25,34.8210779853207,28.27646803362159,6.544609951699108,85.2092352091614,90.78435145093805,74.05900272560811,2688.0995532091656,2653.277781833123,2693.625,2660.9875,,2808.9555782321795,2615.175,2421.394421767821
2019-02-08 18:00:00,2702.0,2709.0,2680.75,2708.0,1513349,246472,2692.75,33.82929421741528,29.38703327038033,4.442260947034953,78.08024673006348,85.75674730663428,62.72724557692186,2691.1611604077557,2657.3312794751137,2697.875,2666.6125,,2806.7958729437278,2614.515,2422.234127056272
2019-02-11 18:00:00,2710.75,2721.5,2700.5,2707.75,1086187,181964,2709.75,32.64679361045364,30.03898533839499,2.6078082720586515,71.11403286730113,78.13450493550873,57.07308873088593,2693.713289575793,2661.065999513994,2704.575,2672.925,,2804.526838987963,2613.83,2423.133161012037
2019-02-12 18:00:00,2707.0,2748.0,2705.5,2744.75,1258501,196426,2736.75,34.29985674049249,30.89115961881449,3.4086971216779958,79.571319525256,76.25519970754026,86.20355916068749,2701.5650911795174,2667.2648143648094,2714.325,2679.875,,2803.0018856570487,2613.445,2423.8881143429517
2019-02-13 18:00:00,2743.5,2762.0,2742.75,2749.25,1175595,186002,2754.5,35.56308447211313,31.82554458947422,3.737539882638913,83.41759072162922,78.0343143713955,94.1841434220967,2708.901230998053,2673.337791078527,2720.925,2686.5875,,2799.3058697960646,2612.595,2425.884130203935
2019-02-14 18:00:00,2749.25,2763.0,2730.25,2741.25,1642202,260733,2745.0,35.50933885475433,32.562303442530244,2.947035412224089,84.45521780473753,82.48137601720761,88.40290137979738,2713.87796469066,2678.3683250727104,2723.85,2691.7375,,2801.822119954125,2613.35,2424.877880045875
2019-02-15 18:00:00,2741.25,2778.5,2729.0,2777.75,1452581,215407,2764.0,37.97424654651286,33.644692063326765,4.329554483186094,85.69888662777568,84.52389838471417,88.0488631138987,2723.704431661328,2685.72993062288,2731.175,2696.775,,2806.2725344012697,2614.51,2422.7474655987307
2019-02-18 18:00:00,2777.0,2782.5,2773.25,2778.25,133535,33490,2776.75,39.51257312499638,34.818268275660685,4.694304849335694,89.53735446624673,86.56381963292,95.48442413290019,2732.096057559585,2692.5832690952593,2736.9,2702.525,,2812.0124881140846,2616.14,2420.267511885915
2019-02-19 18:00:00,2777.5,2787.5,2766.0,2777.75,1017880,152831,2777.25,40.22764297281128,35.90014321509081,4.327499757720474,95.30744764478221,90.18122957960156,105.55988377514353,2739.1197410119566,2698.8919158289436,2741.575,2709.7875,,2819.8837830874713,2618.925,2417.966216912529
2019-02-20 18:00:00,2777.75,2790.75,2773.25,2786.75,1236574,197043,2782.0,41.04739692226394,36.92959395652544,4.117802965738505,94.35108090836896,93.06529433979932,96.92265404550824,2746.4474731639634,2705.3999220638366,2747.475,2717.2375,,2828.0893695305253,2621.795,2415.500630469475
2019-02-21 18:00:00,2787.0,2798.0,2764.25,2774.0,1378776,223235,2776.0,40.20478366987163,37.584631899194676,2.620151770676955,87.53825409554776,92.39892754956634,77.8169071875106,2750.6863234464304,2710.4814093183672,2754.55,2724.0875,,2835.2424394546215,2624.605,2413.9675605453785
2019-02-22 18:00:00,2773.5,2795.5,2770.5,2795.25,1136661,175918,2786.25,40.78159911406692,38.22402534216913,2.5575737718977933,89.5917595916696,90.4936981985288,87.7878823779512,2757.542273685441,2716.7605641836735,2763.275,2730.575,,2843.32225389105,2627.45,2411.5777461089497
2019-02-25 18:00:00,2799.5,2814.0,2794.5,2795.5,1199440,176029,2804.75,40.788715497820704,38.736963373299446,2.0517521245212578,83.54897884300503,86.89299751007417,76.86094150886674,2763.381923887681,2722.593114984883,2772.05,2738.3125,,2851.327126282806,2630.43,2409.5328737171935
2019-02-26 18:00:00,2795.75,2803.5,2783.25,2789.0,1154811,176927,2795.0,39.81094382699712,38.95175946403898,0.859184362958139,81.95018547950387,85.03030797139287,75.78994049572586,2767.323166366499,2727.512143504521,2776.475,2745.4,,2859.3325213102075,2634.235,2409.1374786897927
2019-02-27 18:00:00,2788.0,2797.25,2775.0,2796.5,1109685,166046,2787.0,39.189488029890526,38.99930517720929,0.19018285268123947,76.07843137245946,80.52586523165617,67.18356365406603,2771.8119100024223,2732.622355096779,2781.2,2751.0625,,2867.498478567462,2639.055,2410.6115214325378
2019-02-28 18:00:00,2795.25,2795.75,2781.75,2787.0,1281236,171849,2788.0,37.49815385232978,38.699074912233385,-1.2009210599036066,65.24288107193729,74.42383264130025,46.88097793321137,2774.148539232819,2736.6503287933137,2785.775,2754.8125,,2874.190951320648,2644.155,2414.1190486793525
2019-03-01 18:00:00,2785.25,2808.25,2783.0,2807.0,1212201,170969,2799.5,37.341146689256675,38.427489267638045,-1.0863425783813696,70.35668538760353,70.5593326106668,69.951390941477,2779.2026101200777,2741.8614155493647,2788.7,2759.9375,,2881.102385529317,2650.23,2419.357614470683
2019-03-04 18:00:00,2817.25,2823.0,2770.75,2794.5,1711041,253647,2796.25,35.795444248794865,37.90108026386941,-2.105636015074545,61.04921771968723,65.54959472640938,52.04846370624293,2781.556054716989,2745.7605699531155,2790.325,2763.6125,,2885.939894315569,2656.365,2426.7901056844307
2019-03-05 18:00:00,2793.75,2802.25,2786.5,2792.0,1149589,173743,2794.5,33.97706832821905,37.11627787673934,-3.1392095485202915,61.5510174987281,64.31897353533965,56.015105425505,2783.16281552976,2749.1857129195514,2791.75,2766.6625,,2886.342634779502,2663.78,2441.2173652204983
2019-03-06 18:00:00,2789.75,2796.0,2771.75,2774.25,1357397,197074,2781.75,30.749257355366353,35.84287377246474,-5.093616417098389,35.28875379933151,52.62966300591565,0.6069353861632152,2781.791613140566,2751.0423267773626,2790.5,2768.9875,,2877.1884794097714,2672.425,2467.661520590229
